edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport,height,weight,sex,country,born,year,won_medal,gold,silver,bronze,total,is_host,host_noc
1924 Summer Olympics,8,BRA,Athletics,"800 metres, Men",57375,Alfredo Gomes,65594,DNS,,False,181.0,70,Male,Brazil,16 January 1899,1924.0,False,,,,,False,FRA
1924 Summer Olympics,8,BRA,Athletics,"1,500 metres, Men",57390,Alfredo Gomes,65594,DNS,,False,181.0,70,Male,Brazil,16 January 1899,1924.0,False,,,,,False,FRA
1924 Summer Olympics,8,BRA,Athletics,"5,000 metres, Men",57399,Alfredo Gomes,65594,9 h1 r1/2,,False,181.0,70,Male,Brazil,16 January 1899,1924.0,False,,,,,False,FRA
1924 Summer Olympics,8,BRA,Athletics,"3,000 metres Steeplechase, Men",57436,Alfredo Gomes,65594,DNS,,False,181.0,70,Male,Brazil,16 January 1899,1924.0,False,,,,,False,FRA
1924 Summer Olympics,8,BRA,Athletics,"Cross-Country, Individual, Men",57406,Alfredo Gomes,65594,DNF,,False,181.0,70,Male,Brazil,16 January 1899,1924.0,False,,,,,False,FRA
1932 Summer Olympics,10,BRA,Athletics,"100 metres, Men",57919,José de Almeida,65553,4 h4 r2/4,,False,174.0,68,Male,Brazil,4 October 1904,1932.0,False,,,,,False,USA
1932 Summer Olympics,10,BRA,Athletics,"200 metres, Men",57937,José de Almeida,65553,DNS,,False,174.0,68,Male,Brazil,4 October 1904,1932.0,False,,,,,False,USA
1932 Summer Olympics,10,BRA,Athletics,"Marathon, Men",57989,Matheus Marcondes,65602,DNF,,False,165.0,58,Male,Brazil,November 1903,1932.0,False,,,,,False,USA
1932 Summer Olympics,10,BRA,Athletics,"110 metres Hurdles, Men",57990,Sylvio Padilha,65564,4 h1 r1/3,,False,183.0,73,Male,Brazil,5 June 1909,1932.0,False,,,,,False,USA
1932 Summer Olympics,10,BRA,Athletics,"400 metres Hurdles, Men",58000,Sylvio Padilha,65564,4 h2 r1/3,,False,183.0,73,Male,Brazil,5 June 1909,1932.0,False,,,,,False,USA
1932 Summer Olympics,10,BRA,Athletics,"4 × 100 metres Relay, Men",58016,José de Almeida,65553,DNS,,True,174.0,68,Male,Brazil,4 October 1904,1932.0,False,,,,,False,USA
1932 Summer Olympics,10,BRA,Athletics,"4 × 100 metres Relay, Men",58016,Sylvio Padilha,65564,DNS,,True,183.0,73,Male,Brazil,5 June 1909,1932.0,False,,,,,False,USA
1932 Summer Olympics,10,BRA,Athletics,"4 × 400 metres Relay, Men",58021,José de Almeida,65553,DNS,,True,174.0,68,Male,Brazil,4 October 1904,1932.0,False,,,,,False,USA
1932 Summer Olympics,10,BRA,Athletics,"4 × 400 metres Relay, Men",58021,Sylvio Padilha,65564,DNS,,True,183.0,73,Male,Brazil,5 June 1909,1932.0,False,,,,,False,USA
